ID,Path,Element,Parent Path,Level,Root Element,Declared In,Declaration,Data Type,Type Source,Content,Min Occurs,Max Occurs,Required,Repeatable,Enumeration Count,Enumerated Values,Definition
34,EarthScienceSpecimen/UnitStratigraphicDetermination/LithostratigraphicAttributions/LithostratigraphicAttribution/StratigraphicMeasurementsOrFacts,StratigraphicMeasurementsOrFacts,EarthScienceSpecimen/UnitStratigraphicDetermination/LithostratigraphicAttributions/LithostratigraphicAttribution,4,EarthScienceSpecimen,LithostratigraphicAttributionsType,global (ref),(anonymous complexType),EFG inline,complex,0,1,N,N,0,,"Container element for multiple measurements (e.g. thickness, dip etc.) or facts (e.g. this bed was first identified by Charles Moore as the Reptile and Fish Bed from which he obtained Nothosaurus). This element contains the standard schema complex type MeasurementOrFact."
35,EarthScienceSpecimen/UnitStratigraphicDetermination/LithostratigraphicAttributions/LithostratigraphicAttribution/StratigraphicMeasurementsOrFacts/StratigraphicMeasurementOrFact,StratigraphicMeasurementOrFact,EarthScienceSpecimen/UnitStratigraphicDetermination/LithostratigraphicAttributions/LithostratigraphicAttribution/StratigraphicMeasurementsOrFacts,5,EarthScienceSpecimen,LithostratigraphicAttributionsType,local,abcd:MeasurementOrFact,ABCD 2.06 (external),complex (ABCD),1,unbounded,Y,Y,0,,Container for single instance of complex type MeasurementOrFact
36,EarthScienceSpecimen/UnitStratigraphicDetermination/BiostratigraphicAttributions,BiostratigraphicAttributions,EarthScienceSpecimen/UnitStratigraphicDetermination,2,EarthScienceSpecimen,StratigraphicAttributionsType,local,efg:BiostratigraphicAttributionsType,EFG named complexType,complex,0,1,N,N,0,,Container for optional multiple references to fossil zones e.g. where a range of zones and subzones might be represented.
37,EarthScienceSpecimen/UnitStratigraphicDetermination/BiostratigraphicAttributions/BiostratigraphicAttribution,BiostratigraphicAttribution,EarthScienceSpecimen/UnitStratigraphicDetermination/BiostratigraphicAttributions,3,EarthScienceSpecimen,BiostratigraphicAttributionsType,local,(anonymous complexType),EFG inline,complex,1,unbounded,Y,Y,0,,A single declaration of a fossil zone or subzone.
38,EarthScienceSpecimen/UnitStratigraphicDetermination/BiostratigraphicAttributions/BiostratigraphicAttribution/ZonalFossilType,ZonalFossilType,EarthScienceSpecimen/UnitStratigraphicDetermination/BiostratigraphicAttributions/BiostratigraphicAttribution,4,EarthScienceSpecimen,BiostratigraphicAttributionsType,local,xs:string,XML Schema built-in,simple,1,1,Y,N,0,,"What sort of biozone is being recorded? e.g. what animal or plant group is it based on? (ammonite, brachiopod,coral, plant, foram, nanoplankton etc.)"
39,EarthScienceSpecimen/UnitStratigraphicDetermination/BiostratigraphicAttributions/BiostratigraphicAttribution/FossilZoneName,FossilZoneName,EarthScienceSpecimen/UnitStratigraphicDetermination/BiostratigraphicAttributions/BiostratigraphicAttribution,4,EarthScienceSpecimen,BiostratigraphicAttributionsType,local,xs:string,XML Schema built-in,simple,1,1,Y,N,0,,The actual name of the biozone. Ideally this should be in its expanded form although common usage tends to abbreviate the generic epithet.
40,EarthScienceSpecimen/UnitStratigraphicDetermination/BiostratigraphicAttributions/BiostratigraphicAttribution/FossilSubzoneName,FossilSubzoneName,EarthScienceSpecimen/UnitStratigraphicDetermination/BiostratigraphicAttributions/BiostratigraphicAttribution,4,EarthScienceSpecimen,BiostratigraphicAttributionsType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,"The subzone name, if any, this should ideally be in expanded form rather than abbreviated."
41,EarthScienceSpecimen/UnitStratigraphicDetermination/BiostratigraphicAttributions/BiostratigraphicAttribution/Certainty,Certainty,EarthScienceSpecimen/UnitStratigraphicDetermination/BiostratigraphicAttributions/BiostratigraphicAttribution,4,EarthScienceSpecimen,BiostratigraphicAttributionsType,global (ref),xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Degree of certainty associated with the date determination e.g. unknown, certain, uncertain, possibly, known wrong."
42,EarthScienceSpecimen/UnitStratigraphicDetermination/BiostratigraphicAttributions/BiostratigraphicAttribution/RangePosition,RangePosition,EarthScienceSpecimen/UnitStratigraphicDetermination/BiostratigraphicAttributions/BiostratigraphicAttribution,4,EarthScienceSpecimen,BiostratigraphicAttributionsType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Range position if this attribution is the earliest, midway or latest in a possible range. e.g. It is not always clear what zone a particular taxon belongs to and therefore a range may be needed."
43,EarthScienceSpecimen/UnitStratigraphicDetermination/BiostratigraphicAttributions/BiostratigraphicAttribution/DatingQualifier,DatingQualifier,EarthScienceSpecimen/UnitStratigraphicDetermination/BiostratigraphicAttributions/BiostratigraphicAttribution,4,EarthScienceSpecimen,BiostratigraphicAttributionsType,global (ref),xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Allows for qualification of date terms e.g. early/lower, middle, late/upper"
